Comment,Designator,Footprint,LCSC
0.1μF,"C19,C18,C10,C14,C12,C6,C17,C8,C5,C4",C_1206_3216Metric,C24497
D,"D05_1,D07_6,D07_3,D08_3,D02_4,D06_5,D02_3,D01_6,D04_5,D02_7,D08_5,D05_3,D01_2,D07_4,D07_2,D03_5,D02_2,D04_4,D07_8,D03_2,D08_2,D01_8,D05_4,D02_8,D01_7,D06_2,D08_7,D05_6,D05_7,D04_3,D07_7,D06_1,D03_7,D01_3,D07_5,D08_1,D03_6,D02_5,D04_2,D03_4,D08_6,D05_5,D06_7,D02_6,D05_8,D06_6,D06_8,D01_4,D01_5,D03_3,D08_4,D04_7,D05_2,D06_4",D_SOD-123-Pretty,C81598
22,"R1,R2",R_1206_3216Metric,C17958
1M,DR3,R_1206_3216Metric,C17927
10k,"R3,R4,R9",R_1206_3216Metric,C1489
10μF,"C7,C20,C11,C21,C15",C_1206_3216Metric,C13585
5.1k,"DR2,DR1",R_1206_3216Metric,C26033
52.3k,R7,R_1206_3216Metric,C229694
63.4K,R6,R_1206_3216Metric,C159496
39,R10,R_1206_3216Metric,C286655
37.4k,R5,R_1206_3216Metric,C229581
ATmega32U4-M,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
1μF,"C13,C9,C3",C_1206_3216Metric,C1848
4.7μF,"C16,DC1",C_1206_3216Metric,C29823
22pF,"C2,C1",C_1206_3216Metric,C107174
TPS73601DBV,"U5,U3",SOT-23-5,C59200
TPD4E05U06DQAR,DU1,USON-10_L2.5-W1.0-P0.50-BL,C2836386
16Mhz,Y1,OSC-SMD_4P-L3.2-W2.5-BL,C13738
USB_C_Receptacle_USB2.0_16P,DJ1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
TS-1187A-B-A-B,RESET_SW1,SW_TS-1187A-B-A-B,C318884
30.1k,R8,R_1206_3216Metric,C311945
ESD5Z5V0,DESDD1,D_SOD-523,C502546
SMD0805-050-16V,DF1,Fuse_1206_3216Metric,C2833485
