Designator,Mid X,Mid Y,Rotation,Layer
C1,266.3,-248.42,-90,bottom
C2,276.445,-249.19,180,bottom
C3,276.48,-251.71,180,bottom
C4,239.475,-247.345,-90,bottom
C5,241.85,-247.325,-90,bottom
C6,244.22,-247.325,-90,bottom
C7,246.63,-247.325,-90,bottom
C8,246.63,-252.065,90,bottom
C9,244.22,-252.065,90,bottom
C10,443.73,-229.29,180,bottom
C11,439.9,-232.89,-90,bottom
C12,241.85,-252.065,90,bottom
C13,239.48,-252.065,90,bottom
C14,429.4,-213.83,180,bottom
C15,429.4,-216.33,180,bottom
C16,434.3,-218.83,180,bottom
C17,444.88,-232.9,-90,bottom
C18,429.38,-221.27,180,bottom
C19,434.31,-221.26,180,bottom
C20,442.4,-232.9,-90,bottom
C21,429.4,-218.76,180,bottom
D01_2,149.46,-192.36,90,bottom
D01_3,173.28,-192.36,90,bottom
D01_4,192.32,-192.36,90,bottom
D01_5,211.38,-192.36,90,bottom
D01_6,230.43,-192.36,90,bottom
D01_7,249.48,-192.36,90,bottom
D01_8,268.52,-192.36,90,bottom
D02_2,151.85,-211.41,90,bottom
D02_3,178.04,-211.41,90,bottom
D02_4,197.09,-211.41,90,bottom
D02_5,216.14,-211.41,90,bottom
D02_6,235.19,-211.41,90,bottom
D02_7,254.23,-211.41,90,bottom
D02_8,273.29,-211.4,90,bottom
D03_2,156.6,-230.46,90,bottom
D03_3,187.56,-230.46,90,bottom
D03_4,206.61,-230.46,90,bottom
D03_5,225.67,-230.46,90,bottom
D03_6,244.71,-230.46,90,bottom
D03_7,263.77,-230.46,90,bottom
D04_2,147.08,-249.51,90,bottom
D04_3,170.89,-249.51,90,bottom
D04_4,194.71,-249.51,90,bottom
D04_5,228.05,-249.51,90,bottom
D04_7,261.38,-249.51,90,bottom
D05_1,459.02,-187.6,90,bottom
D05_2,406.64,-192.35,90,bottom
D05_3,382.83,-192.36,90,bottom
D05_4,363.78,-192.36,90,bottom
D05_5,344.73,-192.36,90,bottom
D05_6,325.68,-192.36,90,bottom
D05_7,306.62,-192.36,90,bottom
D05_8,287.58,-192.36,90,bottom
D06_1,439.98,-187.59,90,bottom
D06_2,399.5,-211.42,90,bottom
D06_4,368.55,-211.41,90,bottom
D06_5,349.49,-211.41,90,bottom
D06_6,330.44,-211.41,90,bottom
D06_7,311.39,-211.41,90,bottom
D06_8,292.34,-211.41,90,bottom
D07_2,416.17,-235.22,90,bottom
D07_3,385.21,-230.47,90,bottom
D07_4,359.02,-230.46,90,bottom
D07_5,339.96,-230.47,90,bottom
D07_6,320.92,-230.47,90,bottom
D07_7,301.87,-230.45,90,bottom
D07_8,282.82,-230.46,90,bottom
D08_1,459.03,-254.27,90,bottom
D08_2,435.22,-254.28,90,bottom
D08_3,416.17,-254.28,90,bottom
D08_4,397.11,-254.27,90,bottom
D08_5,361.39,-249.51,90,bottom
D08_6,337.58,-249.53,90,bottom
D08_7,301.8,-248.59,90,bottom
DC1,286.630053,-158.723585,90,bottom
DESDD1,304.055303,-154.658585,-90,bottom
DF1,289.700053,-153.998585,-90,bottom
DJ1,296.620053,-154.563585,180,bottom
DR1,289.700053,-158.761085,90,bottom
DR2,306.325303,-153.991085,90,bottom
DR3,306.325303,-158.661085,90,bottom
DU1,303.995053,-158.898585,90,bottom
R1,281.73,-245.43,-90,bottom
R2,279.4,-245.41,-90,bottom
R3,270.42,-252.81,180,bottom
R4,287.77,-249.53,-90,bottom
R5,443.7,-226.86,180,bottom
R6,438.73,-226.85,180,bottom
R7,429.43,-211.41,180,bottom
R8,434.45,-208.66,0,bottom
R9,434.9,-212.8,-90,bottom
R10,451.23,-222.41,90,bottom
RESET_SW1,314.41,-248.23,0,bottom
U1,270.19,-239.45,-90,bottom
U3,431.9275,-225.6,0,bottom
U5,429.44,-207.22,90,bottom
Y1,270.333,-248.067,-90,bottom
